n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.058969736099243164,90,6.141008615493774,919,,,0,0,"[nan, nan, nan]"
90,90,13.044150829315186,1920,0.01784539222717285,30,0.02965235710144043,3,,,0.009087324142456055,0,"[np.float64(403.69179302660507), nan, 0.001]"
120,105,17.96744680404663,1920,0.015673160552978516,30,3.3152806758880615,394,,,0.005514860153198242,0,"[np.float64(145.14302219828818), np.float64(1.3256341386682515), 0.001]"
150,135,20.19381046295166,1920,0.015335321426391602,30,1.5961425304412842,182,,,0.0053899288177490234,0,"[np.float64(468.1639043432153), np.float64(26.86671712055703), np.float64(0.9788256168289253)]"
180,143,25.79360604286194,1920,0.015734195709228516,30,4.6802027225494385,382,,,0.004764080047607422,0,"[np.float64(431.91868495752067), np.float64(90.48839177803319), np.float64(0.9999999899230975)]"
210,165,15.749375581741333,1920,0.01521444320678711,30,3.257051944732666,231,,,0.005160808563232422,0,"[np.float64(422.6675397805016), np.float64(310.85800623687607), np.float64(1.0)]"
240,174,20.42338728904724,1920,0.01542043685913086,30,9.519432067871094,405,,,0.00452876091003418,0,"[np.float64(335.41522388247614), np.float64(904.3465067122104), np.float64(1.0)]"
270,198,23.933920860290527,1920,0.01527714729309082,30,10.497167110443115,373,,,0.004479885101318359,0,"[np.float64(366.1672755835681), np.float64(286.24251579030033), np.float64(1.0)]"
300,219,23.442304372787476,1920,0.015271425247192383,30,19.97088050842285,524,,,0.005598545074462891,0,"[np.float64(350.65904134216987), np.float64(336.46315443279053), np.float64(0.9999871015573458)]"
330,246,19.452068090438843,1920,0.015371322631835938,30,49.99836444854736,1090,,,0.0051729679107666016,0,"[np.float64(317.4776619065541), np.float64(203.52942645605248), np.float64(0.9999999999993368)]"
360,275,20.93747353553772,1920,0.015233516693115234,30,15.290154457092285,249,,,0.02721118927001953,0,"[np.float64(288.4637317251694), np.float64(397.8380809733958), np.float64(1.0)]"
390,304,20.63945198059082,1920,0.015385150909423828,30,29.11880373954773,379,,,0.006143093109130859,0,"[np.float64(284.55810508403965), np.float64(267.33374387622166), np.float64(0.9992801310751902)]"
420,333,24.025416612625122,1920,0.015599250793457031,30,27.036007165908813,298,,,0.005156993865966797,0,"[np.float64(250.65961511627856), np.float64(201.07385266463626), np.float64(0.9999908484573364)]"
450,363,24.070581674575806,1920,0.015443086624145508,30,32.39843964576721,281,,,0.005659818649291992,0,"[np.float64(244.09851315622595), np.float64(206.98618844392968), np.float64(0.9999999999999982)]"
480,393,28.676552295684814,1920,0.015732526779174805,30,38.11727976799011,332,,,0.005527019500732422,0,"[np.float64(255.49762375419974), np.float64(175.86895404419258), np.float64(0.9999997802341687)]"
510,423,24.85184597969055,1920,0.01554107666015625,30,52.455384731292725,352,,,0.005907297134399414,0,"[np.float64(176.6662257193808), np.float64(70.70841177702482), np.float64(0.9949293036891885)]"
540,453,20.760451555252075,1920,0.016103029251098633,30,18.746163845062256,105,,,0.0060367584228515625,0,"[np.float64(115.07329546762946), np.float64(87.22121923059261), np.float64(0.3884016170959994)]"
570,483,21.324592351913452,1920,0.013686418533325195,30,17.063671350479126,89,,,0.005867719650268555,0,"[np.float64(148.46430401346038), np.float64(53.319074984921656), np.float64(0.9024944692124515)]"
600,513,37.35960555076599,1920,0.015109062194824219,30,24.999670028686523,122,,,0.005875349044799805,0,"[np.float64(39.58397120690128), np.float64(27.677364776652496), np.float64(0.005003024005478687)]"
630,530,23.946785926818848,1920,0.015192270278930664,30,333.5849006175995,1603,283.5845777988434,64000,0.006185293197631836,0,"[np.float64(0.10590644112988912), np.float64(6.041694214685193), 0.001]"
