n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.0063021183013916016,15,0.6291260719299316,804,,,0,0,[nan]
15,15,19.52219319343567,1920,0.0013489723205566406,5,0.07896542549133301,100,,,0.00010275840759277344,0,[nan]
20,20,5.659327030181885,1920,0.0012662410736083984,5,0.03791499137878418,43,,,0.00020551681518554688,0,[nan]
25,25,7.200622320175171,1920,0.0013072490692138672,5,0.8040444850921631,938,,,0.00016236305236816406,0,[nan]
30,30,2.284644603729248,1920,0.0015437602996826172,5,0.021571636199951172,18,,,8.869171142578125e-05,0,[nan]
35,35,3.982434034347534,1920,0.0013451576232910156,5,0.025797605514526367,23,,,8.7738037109375e-05,0,[nan]
40,40,2.734079360961914,1920,0.0015599727630615234,5,0.02344059944152832,17,,,5.8650970458984375e-05,0,[nan]
45,45,3.909498691558838,1920,0.0015285015106201172,5,1.299621343612671,1130,,,0.0004093647003173828,0,[nan]
50,50,2.672966480255127,1920,0.0016798973083496094,5,0.03961920738220215,26,,,0.00024056434631347656,0,[nan]
55,55,3.6006505489349365,1920,0.0018377304077148438,5,0.04312443733215332,27,,,0.000225067138671875,0,[nan]
60,60,3.935349464416504,1920,0.001439809799194336,5,0.02526235580444336,16,,,0.000156402587890625,0,[nan]
65,65,2.917501926422119,1920,0.0016193389892578125,5,1.6232805252075195,1101,,,0.00023603439331054688,0,[nan]
70,70,2.4999797344207764,1920,0.0016598701477050781,5,0.030190229415893555,15,,,0.00014162063598632812,0,[nan]
75,75,2.3280341625213623,1920,0.0017011165618896484,5,0.03413200378417969,16,,,0.0001285076141357422,0,[nan]
80,80,2.5439021587371826,1920,0.0015654563903808594,5,0.038107872009277344,17,,,0.00010609626770019531,0,[nan]
85,85,2.5510520935058594,1920,0.001531362533569336,5,2.400151252746582,1205,,,5.364418029785156e-05,0,[nan]
90,90,2.761654853820801,1920,0.0016584396362304688,5,0.05031919479370117,20,,,0.0001513957977294922,0,[nan]
95,95,2.6041555404663086,1920,0.0016040802001953125,5,0.04537153244018555,17,,,0.00011563301086425781,0,[nan]
100,100,2.528463840484619,1920,0.0016379356384277344,5,0.04537796974182129,16,,,0.00013017654418945312,0,[nan]
105,105,2.697068929672241,1920,0.0016498565673828125,5,2.639941930770874,1058,,,7.677078247070312e-05,0,[nan]
110,110,2.9044127464294434,1920,0.0014994144439697266,5,0.04872894287109375,16,,,5.221366882324219e-05,0,[nan]
115,115,2.8467676639556885,1920,0.0015599727630615234,5,0.04804039001464844,15,,,0.0001735687255859375,0,[nan]
120,120,2.634488582611084,1920,0.0015513896942138672,5,0.05122113227844238,15,,,0.00016427040100097656,0,[nan]
125,125,2.985358715057373,1920,0.0015120506286621094,5,4.379100322723389,1357,,,0.00012111663818359375,0,[nan]
130,130,2.552673101425171,1920,0.0015850067138671875,5,0.06361842155456543,16,,,6.341934204101562e-05,0,[nan]
135,135,3.0433552265167236,1920,0.0015468597412109375,5,0.07745504379272461,19,,,6.341934204101562e-05,0,[nan]
140,140,2.8795104026794434,1920,0.001605987548828125,5,0.07195472717285156,16,,,6.031990051269531e-05,0,[nan]
145,145,3.0903658866882324,1920,0.0014965534210205078,5,3.8372669219970703,964,,,0.000324249267578125,0,[nan]
150,150,4.01405143737793,1920,0.0016207695007324219,5,0.06982564926147461,14,,,0.00011467933654785156,0,[nan]
155,155,2.739696502685547,1920,0.001626729965209961,5,0.08653903007507324,17,,,9.846687316894531e-05,0,[nan]
160,160,3.012291431427002,1920,0.001646280288696289,5,0.07460546493530273,13,,,0.00012159347534179688,0,[nan]
165,165,2.567244291305542,1920,0.001547098159790039,5,4.237463712692261,886,,,0.0001239776611328125,0,[nan]
170,170,2.545701265335083,1920,0.0015385150909423828,5,0.13260698318481445,23,,,5.7697296142578125e-05,0,[nan]
175,175,3.204273223876953,1920,0.0015425682067871094,5,0.0922386646270752,15,,,6.175041198730469e-05,0,[nan]
180,180,2.475893974304199,1920,0.0016281604766845703,5,0.13232874870300293,20,,,5.14984130859375e-05,0,[nan]
185,185,2.6372368335723877,1920,0.0014758110046386719,5,5.273406744003296,893,,,0.00021123886108398438,0,[nan]
190,190,2.7494211196899414,1920,0.0016257762908935547,5,0.09876537322998047,14,,,0.00013303756713867188,0,[nan]
195,195,2.644792079925537,1920,0.001461029052734375,5,0.1703474521636963,25,,,7.843971252441406e-05,0,[nan]
200,200,3.0244944095611572,1920,0.0014941692352294922,5,0.12761831283569336,17,,,6.270408630371094e-05,0,[nan]
205,205,2.5361688137054443,1920,0.0014927387237548828,5,6.919907569885254,964,,,0.00020837783813476562,0,[nan]
210,210,2.8228588104248047,1920,0.0016586780548095703,5,0.15343546867370605,18,,,0.0001614093780517578,0,[nan]
215,215,2.626614809036255,1920,0.00148773193359375,5,0.14327478408813477,17,,,0.00011396408081054688,0,[nan]
220,220,2.818380117416382,1920,0.0014460086822509766,5,0.16824841499328613,19,,,5.9604644775390625e-05,0,[nan]
