n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.006900787353515625,15,0.0785984992980957,35,,,0,0,"[nan, nan, nan]"
15,15,13.16794490814209,1920,0.0018057823181152344,5,0.06792163848876953,61,,,0.0067937374114990234,0,"[np.float64(722.8200893822999), nan, np.float64(0.08038046929066996)]"
20,18,8.193094730377197,1920,0.0013480186462402344,5,0.02250814437866211,18,,,0.002395153045654297,0,"[np.float64(42.78997658922624), np.float64(4.012479609780319), np.float64(0.9999938790781022)]"
25,23,9.521117687225342,1920,0.0011224746704101562,5,0.05793333053588867,62,,,0.002076864242553711,0,"[np.float64(34.80255381574269), np.float64(32.78201228351974), np.float64(0.9892113893317367)]"
30,28,8.038557767868042,1920,0.0012066364288330078,5,0.019826173782348633,16,,,0.0021839141845703125,0,"[np.float64(44.13712901553649), np.float64(65.42155834783881), np.float64(0.9973144180507123)]"
35,33,8.740049600601196,1920,0.0013239383697509766,5,0.019555330276489258,13,,,0.0023479461669921875,0,"[np.float64(77.30442998840813), np.float64(11.648364553821647), np.float64(0.9207093760425663)]"
40,38,9.988056898117065,1920,0.0011050701141357422,5,0.024325847625732422,19,,,0.0020339488983154297,0,"[np.float64(37.37642791715998), np.float64(3.7780880115334297), np.float64(0.9317616939105755)]"
45,43,8.038604259490967,1920,0.0013279914855957031,5,0.07746028900146484,60,,,0.0022306442260742188,0,"[np.float64(44.79714929303787), np.float64(15.215065473039033), np.float64(0.3073006141672901)]"
50,48,5.775986433029175,1920,0.0013360977172851562,5,0.05461716651916504,39,,,0.0022912025451660156,0,"[np.float64(1.3606537450285359), np.float64(3.7128858345190587), 0.001]"
55,53,4.685780048370361,1920,0.0013616085052490234,5,0.014263153076171875,6,,,0.0022966861724853516,0,"[np.float64(0.20893921511561686), np.float64(0.049540836451143905), 0.001]"
60,58,4.761838912963867,1920,0.0013005733489990234,5,0.020775556564331055,11,,,0.0019941329956054688,0,"[np.float64(1.057356753278274), np.float64(0.21808351685199207), 0.001]"
65,63,7.305389404296875,1920,0.0012433528900146484,5,0.07817792892456055,48,87.43010306358337,64000,0.0020563602447509766,0,"[np.float64(0.05968980186390027), np.float64(0.12487176077592813), 0.001]"
