n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.025871992111206055,48,0.06672143936157227,23,,,0,0,"[nan, nan, nan]"
48,48,10.942526578903198,1920,0.007542610168457031,16,0.012592077255249023,3,,,0.0026848316192626953,0,"[np.float64(267.8835852069944), nan, 0.001]"
64,63,11.080513715744019,1920,0.0065653324127197266,16,0.05137062072753906,20,,,0.0027136802673339844,0,"[np.float64(155.596369356186), np.float64(1.5657721444624233), 0.001]"
80,79,10.795576572418213,1920,0.006514310836791992,16,0.07899785041809082,25,,,0.0027017593383789062,0,"[np.float64(82.91164348357157), np.float64(0.959613362480634), 0.001]"
96,95,11.002552270889282,1920,0.0067272186279296875,16,0.11833739280700684,30,,,0.0027871131896972656,0,"[np.float64(29.972276852344667), np.float64(0.6479278462243053), 0.001]"
112,111,11.477777242660522,1920,0.006496906280517578,16,0.05164933204650879,10,,,0.0027670860290527344,0,"[np.float64(48.9689468414216), np.float64(1.212226064005391), 0.001]"
128,127,14.467548370361328,1920,0.006844043731689453,16,0.08447432518005371,13,,,0.0029404163360595703,0,"[np.float64(100.29428726506859), np.float64(0.7831032692469178), 0.001]"
144,143,11.518414497375488,1920,0.00664830207824707,16,0.3617231845855713,48,,,0.002663850784301758,0,"[np.float64(29.047786413114483), np.float64(0.7503105260728462), 0.001]"
160,159,8.221349239349365,1920,0.006793022155761719,16,0.1661059856414795,19,,,0.0028285980224609375,0,"[np.float64(57.61051612627301), np.float64(23.899454730648465), np.float64(0.006104269615315893)]"
176,175,3.49328351020813,1920,0.00653529167175293,16,0.45220232009887695,45,,,0.002596139907836914,0,"[np.float64(1.9288013374064192), np.float64(4.078861076590065), 0.001]"
192,191,3.0968945026397705,1920,0.005550861358642578,16,0.12388968467712402,12,64.8782045841217,64000,0.0023527145385742188,0,"[np.float64(0.029498681107959612), np.float64(0.28269160476049454), 0.001]"
