n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.007210254669189453,15,0.06627511978149414,22,,,0,0,[nan]
15,15,11.023451566696167,1920,0.002316713333129883,5,0.008832931518554688,3,,,8.273124694824219e-05,0,[nan]
20,20,12.243205547332764,1920,0.0015711784362792969,5,0.053511857986450195,55,,,0.0001900196075439453,0,[nan]
25,25,7.714796543121338,1920,0.001239776611328125,5,0.05571460723876953,62,,,9.703636169433594e-05,0,[nan]
30,30,3.332289934158325,1920,0.001355886459350586,5,0.02494215965270996,23,,,0.00014138221740722656,0,[nan]
35,35,2.1957342624664307,1920,0.0013816356658935547,5,0.029265403747558594,25,,,8.821487426757812e-05,0,[nan]
40,40,3.6824734210968018,1920,0.001260519027709961,5,0.021355152130126953,18,,,0.0001201629638671875,0,[nan]
45,45,4.233323574066162,1920,0.001436471939086914,5,0.05502152442932129,42,,,7.724761962890625e-05,0,[nan]
50,50,2.686123847961426,1920,0.0014088153839111328,5,0.019701004028320312,13,,,6.0558319091796875e-05,0,[nan]
55,55,2.776902914047241,1920,0.0013811588287353516,5,0.03451061248779297,23,,,4.696846008300781e-05,0,[nan]
60,60,4.452773571014404,1920,0.001443624496459961,5,0.02654290199279785,16,,,5.435943603515625e-05,0,[nan]
65,65,2.536369562149048,1920,0.0011990070343017578,5,0.08884096145629883,62,,,4.1961669921875e-05,0,[nan]
70,70,4.433502197265625,1920,0.0011906623840332031,5,0.02188730239868164,13,,,4.5299530029296875e-05,0,[nan]
75,75,2.3935227394104004,1920,0.001399993896484375,5,0.0239715576171875,12,,,4.76837158203125e-05,0,[nan]
80,80,2.5969040393829346,1920,0.00141143798828125,5,0.03176522254943848,15,,,5.459785461425781e-05,0,[nan]
85,85,2.5671579837799072,1920,0.0014314651489257812,5,0.12291121482849121,59,,,4.601478576660156e-05,0,[nan]
90,90,2.28918719291687,1920,0.0014300346374511719,5,0.027500152587890625,11,,,5.1975250244140625e-05,0,[nan]
95,95,2.669860363006592,1920,0.0014803409576416016,5,0.03215670585632324,12,,,5.53131103515625e-05,0,[nan]
100,100,2.5408425331115723,1920,0.0016078948974609375,5,0.03820943832397461,13,,,5.650520324707031e-05,0,[nan]
105,105,2.5777359008789062,1920,0.0015115737915039062,5,0.1246485710144043,45,,,5.3882598876953125e-05,0,[nan]
110,110,2.510321617126465,1920,0.001409769058227539,5,0.03470611572265625,12,,,0.0001366138458251953,0,[nan]
115,115,2.3155953884124756,1920,0.0015947818756103516,5,0.0405886173248291,12,,,8.7738037109375e-05,0,[nan]
120,120,2.593668222427368,1920,0.001486063003540039,5,0.03871750831604004,11,,,6.103515625e-05,0,[nan]
125,125,3.0899569988250732,1920,0.0014357566833496094,5,0.1695113182067871,49,,,5.3882598876953125e-05,0,[nan]
130,130,3.2864084243774414,1920,0.0015747547149658203,5,0.04636430740356445,11,,,5.5789947509765625e-05,0,[nan]
135,135,2.488161325454712,1920,0.0016326904296875,5,0.052751779556274414,12,,,5.8650970458984375e-05,0,[nan]
140,140,2.4771857261657715,1920,0.0013718605041503906,5,0.05217409133911133,13,,,5.1021575927734375e-05,0,[nan]
145,145,2.449777841567993,1920,0.00150299072265625,5,0.24405550956726074,55,,,4.9591064453125e-05,0,[nan]
150,150,2.338526725769043,1920,0.00128173828125,5,0.05069136619567871,11,,,0.0001423358917236328,0,[nan]
155,155,2.7189583778381348,1920,0.0015130043029785156,5,0.04714059829711914,9,,,0.0001049041748046875,0,[nan]
160,160,2.681718587875366,1920,0.0015964508056640625,5,0.06275296211242676,11,,,0.00016498565673828125,0,[nan]
165,165,2.0659844875335693,1920,0.0013055801391601562,5,0.23301172256469727,49,,,9.512901306152344e-05,0,[nan]
170,170,3.014857769012451,1920,0.0011980533599853516,5,0.07257771492004395,14,,,4.9114227294921875e-05,0,[nan]
175,175,3.7778196334838867,1920,0.0011975765228271484,5,0.07485723495483398,14,,,5.650520324707031e-05,0,[nan]
180,180,2.446432590484619,1920,0.001527547836303711,5,0.15441036224365234,24,,,5.555152893066406e-05,0,[nan]
185,185,2.487114906311035,1920,0.001562356948852539,5,0.32963085174560547,54,,,6.175041198730469e-05,0,[nan]
190,190,2.4853596687316895,1920,0.0015511512756347656,5,0.1731412410736084,25,,,6.818771362304688e-05,0,[nan]
195,195,3.1832773685455322,1920,0.0015816688537597656,5,0.08165287971496582,11,,,0.00019621849060058594,0,[nan]
200,200,2.851179838180542,1920,0.0014319419860839844,5,0.13253545761108398,18,,,6.961822509765625e-05,0,[nan]
205,205,2.880321502685547,1920,0.001238107681274414,5,0.3262193202972412,48,,,6.198883056640625e-05,0,[nan]
210,210,2.399444341659546,1920,0.0016300678253173828,5,0.11073613166809082,13,,,5.698204040527344e-05,0,[nan]
215,215,2.8875415325164795,1920,0.0013928413391113281,5,0.09402298927307129,11,,,7.748603820800781e-05,0,[nan]
220,220,2.7138853073120117,1920,0.0013930797576904297,5,0.1061561107635498,12,,,5.984306335449219e-05,0,[nan]
225,225,2.5397396087646484,1920,0.0013918876647949219,5,0.4052894115447998,46,,,6.008148193359375e-05,0,[nan]
230,230,3.077439308166504,1920,0.0015234947204589844,5,0.1698133945465088,18,,,0.00015163421630859375,0,[nan]
235,235,2.3348429203033447,1920,0.0014846324920654297,5,0.09847545623779297,10,,,9.72747802734375e-05,0,[nan]
240,240,2.540539503097534,1920,0.0014209747314453125,5,0.07137298583984375,7,,,0.00010609626770019531,0,[nan]
245,245,2.489762544631958,1920,0.0012569427490234375,5,0.4011523723602295,45,,,8.0108642578125e-05,0,[nan]
250,250,2.593069553375244,1920,0.001279592514038086,5,0.07123494148254395,7,,,5.1975250244140625e-05,0,[nan]
255,255,2.952676296234131,1920,0.0012774467468261719,5,0.22085022926330566,23,,,5.745887756347656e-05,0,[nan]
260,260,2.408404588699341,1920,0.0014231204986572266,5,0.13593411445617676,12,,,5.555152893066406e-05,0,[nan]
265,265,2.2985646724700928,1920,0.0014774799346923828,5,0.6653797626495361,58,,,0.00010442733764648438,0,[nan]
270,270,2.50581955909729,1920,0.0014467239379882812,5,0.31523633003234863,28,,,6.985664367675781e-05,0,[nan]
275,275,3.0516507625579834,1920,0.001436471939086914,5,0.10552000999450684,9,,,0.0001766681671142578,0,[nan]
280,280,2.3897013664245605,1920,0.0014743804931640625,5,0.12581253051757812,9,,,8.487701416015625e-05,0,[nan]
285,285,2.563866376876831,1920,0.001432657241821289,5,0.823678731918335,61,,,0.00010180473327636719,0,[nan]
290,290,2.437488317489624,1920,0.0017859935760498047,5,0.3359866142272949,23,,,0.00028634071350097656,0,[nan]
295,295,2.5171854496002197,1920,0.0014677047729492188,5,0.16043519973754883,11,42.234808683395386,64000,0.00015425682067871094,0,[nan]
