target,d,arm,strategy,n_restarts,n_seeds,n_converged,n_total_med,t_fit_med,t_loop_med,evals_fit_med,lml_med,quality,quality_med,quality_max,fit_speedup_vs_S0,loop_speedup_vs_S0,modes_min,modes_med
curved,5,S0,uniform,20,5,5,80.0,5.25,99.15,4839.0,109.95017701732705,kl_z,0.0019,0.0026,1.0,1.0,,
curved,5,S1,uniform,8,5,5,75.0,2.95,103.04,2314.0,104.50034359591238,kl_z,0.0021,0.0024,1.78,0.96,,
curved,5,S2,uniform,2,5,4,75.0,1.04,93.92,778.0,72.62351881806943,kl_z,0.0023,inf,5.05,1.06,,
curved,5,S3,local,8,5,4,70.0,2.55,101.79,2124.0,87.74543667368887,kl_z,0.0017,inf,2.06,0.97,,
curved,5,S4,screen,8,5,5,80.0,2.81,96.79,2443.0,85.22059118947543,kl_z,0.0015,0.0043,1.87,1.02,,
gauss,8,S0,uniform,26,5,5,72.0,3.73,54.81,3125.0,49.60815152817385,kl_nuts,0.0016,0.0028,1.0,1.0,,
gauss,8,S1,uniform,8,5,5,64.0,1.89,53.78,1100.0,23.501080226831164,kl_nuts,0.0021,0.0025,1.97,1.02,,
gauss,8,S2,uniform,2,5,5,72.0,0.77,52.59,459.0,65.25695276448323,kl_nuts,0.0016,0.0018,4.84,1.04,,
gauss,8,S3,local,8,5,5,64.0,1.64,56.04,1304.0,29.915193576240085,kl_nuts,0.0021,0.0025,2.27,0.98,,
gauss,8,S4,screen,8,5,5,72.0,1.95,58.0,1321.0,67.20810053888788,kl_nuts,0.0018,0.0022,1.91,0.95,,
gauss,16,S0,uniform,42,5,5,208.0,19.15,143.59,4072.0,135.32046776653215,kl_nuts,0.0058,0.0067,1.0,1.0,,
gauss,16,S1,uniform,8,5,5,224.0,14.38,139.62,2364.0,181.8494355765663,kl_nuts,0.0063,0.0067,1.33,1.03,,
gauss,16,S2,uniform,2,5,5,192.0,4.97,102.24,1110.0,63.30528533026626,kl_nuts,0.0057,0.0066,3.85,1.4,,
gauss,16,S3,local,8,5,5,208.0,10.86,139.51,1816.0,141.5804559566841,kl_nuts,0.0057,0.0069,1.76,1.03,,
gauss,16,S4,screen,8,5,5,240.0,11.71,141.08,2043.0,223.04197467291218,kl_nuts,0.0061,0.0062,1.64,1.02,,
gauss,30,S0,uniform,70,5,4,660.0,579.08,1077.47,7184.0,60.55707294871263,kl_nuts,0.0209,311.7126,1.0,1.0,,
gauss,30,S1,uniform,8,5,4,690.0,332.53,808.71,4473.0,124.00172983771108,kl_nuts,0.0196,276.0591,1.74,1.33,,
gauss,30,S2,uniform,2,5,5,690.0,360.32,866.11,4815.0,208.06586318593725,kl_nuts,0.0185,0.0208,1.61,1.24,,
gauss,30,S3,local,8,5,4,690.0,346.4,843.29,4635.0,84.31701859124814,kl_nuts,0.0199,276.0591,1.67,1.28,,
gauss,30,S4,screen,8,5,5,660.0,328.78,800.1,4740.0,152.35171736759276,kl_nuts,0.0189,0.0197,1.76,1.35,,
multimode,5,S0,uniform,20,5,0,300.0,77.47,266.57,15833.0,180.3749470379134,w_relerr,0.0623,0.1104,1.0,1.0,4.0,4.0
multimode,5,S1,uniform,8,5,0,300.0,35.99,219.93,6854.0,193.74119302636183,w_relerr,0.0617,0.0935,2.15,1.21,4.0,4.0
multimode,5,S2,uniform,2,5,0,300.0,8.91,180.07,1632.0,232.5042052770761,w_relerr,0.0637,0.0813,8.69,1.48,4.0,4.0
multimode,5,S3,local,8,5,0,300.0,31.02,226.51,6078.0,212.2674948017015,w_relerr,0.0719,0.0877,2.5,1.18,4.0,4.0
multimode,5,S4,screen,8,5,0,300.0,38.85,213.9,8180.0,174.8907289931829,w_relerr,0.0567,0.0592,1.99,1.25,4.0,4.0
